,height_bin,VertApprAngle
0,"(-1.937, -1.358]",-10.712866666666665
1,"(-1.358, -0.787]",-10.345867208333333
2,"(-0.787, -0.216]",-9.19494117801047
3,"(-0.216, 0.354]",-8.478783338842975
4,"(0.354, 0.925]",-7.746525072596844
5,"(0.925, 1.496]",-7.101901210078535
6,"(1.496, 2.066]",-6.455007377120467
7,"(2.066, 2.637]",-5.830426685114046
8,"(2.637, 3.208]",-5.215200800482155
9,"(3.208, 3.778]",-4.628951967027085
10,"(3.778, 4.349]",-4.048118803703704
11,"(4.349, 4.92]",-3.4412701355932205
12,"(4.92, 5.49]",-2.869764956331878
13,"(5.49, 6.061]",-2.3127606875
14,"(6.061, 6.632]",-1.5604264444444444
